Time Stamp (ms),qw,qx,qy,qz
6103,0.326904,0.122437,0.510315,-0.78595
6138,0.349976,0.119934,0.478516,-0.796326
6171,0.34668,0.126099,0.462158,-0.806458
6204,0.327881,0.15564,0.467285,-0.806213
6238,0.337341,0.157104,0.452087,-0.810669
6271,0.340027,0.127197,0.453247,-0.814087
6303,0.330261,0.128723,0.451416,-0.818848
6338,0.337585,0.133972,0.445007,-0.818542
6371,0.326538,0.172607,0.438171,-0.819519
6404,0.317871,0.209229,0.425171,-0.821228
6439,0.313721,0.189758,0.38562,-0.84668
6471,0.262634,0.141418,0.355469,-0.885803
6505,0.195313,0.113342,0.392944,-0.891418
6540,0.175476,0.129272,0.436462,-0.872925
6571,0.196472,0.105286,0.471985,-0.852966
6605,0.193787,0.0387573,0.484375,-0.852234
6639,0.236328,-0.052063,0.462097,-0.853149
6673,0.24353,-0.0553589,0.472046,-0.845459
6706,0.256165,-0.0886841,0.427673,-0.862305
6740,0.282532,-0.126709,0.434387,-0.845825
6774,0.261841,-0.116821,0.454041,-0.843567
6807,0.212769,-0.207092,0.454224,-0.839966
6840,0.250366,-0.185974,0.419739,-0.852356
6876,0.228577,-0.234253,0.399109,-0.856506
6908,0.184875,-0.294189,0.367188,-0.862793
6941,0.165222,-0.269714,0.404968,-0.85791
6975,0.205872,-0.186951,0.41687,-0.865356
7009,0.222412,-0.167053,0.409241,-0.868958
7042,0.254517,-0.110352,0.398315,-0.874329
7077,0.247498,-0.0582275,0.408081,-0.876831
7109,0.251648,-0.0540771,0.388489,-0.884766
7143,0.271362,-0.0318604,0.393311,-0.877869
7176,0.279907,-0.0287476,0.401428,-0.871582
7209,0.283386,-0.0744629,0.421936,-0.857971
7244,0.281433,-0.0997925,0.45929,-0.836609
7278,0.250977,-0.0916748,0.463562,-0.844788
7312,0.25531,-0.146729,0.465149,-0.834839
7344,0.208923,-0.169922,0.506592,-0.819031
7378,0.247803,-0.228699,0.505493,-0.794189
7412,0.280945,-0.209106,0.463867,-0.813721
7445,0.296265,-0.157593,0.477905,-0.811768
7479,0.31604,-0.179749,0.478882,-0.799072
7513,0.315552,-0.0593872,0.494385,-0.807739
7545,0.335693,-0.0510254,0.444702,-0.828857
7580,0.324036,-0.0958252,0.416199,-0.844177
7613,0.295776,-0.115662,0.421814,-0.849243
7646,0.307007,-0.112854,0.474915,-0.817017
7680,0.340332,-0.110901,0.542297,-0.760132
7714,0.35144,-0.141479,0.617615,-0.68927
7747,0.296814,-0.124634,0.569885,-0.756042
7781,0.32605,-0.0829468,0.505859,-0.794312
7815,0.327637,-0.065979,0.535828,-0.77533
7847,0.320618,-0.0799561,0.55658,-0.762268
7883,0.322998,-0.0346069,0.576599,-0.749695
7915,0.316162,0.0254517,0.563965,-0.762451
7949,0.325562,-0.00183105,0.515869,-0.792358
7983,0.304565,-0.00836182,0.497498,-0.812195
8015,0.29364,0.015625,0.489624,-0.820862
8049,0.275146,0.0506592,0.462585,-0.841248
8083,0.255554,0.00128174,0.443787,-0.858948
8116,0.245789,-0.0325928,0.444275,-0.860901
8150,0.24646,-0.00164795,0.452209,-0.857178
8183,0.260437,0.0291748,0.4422,-0.857788
8217,0.278687,0.0545044,0.42688,-0.858582
8250,0.279602,0.0507813,0.424438,-0.85968
8284,0.27417,0.0352783,0.429321,-0.859802
8319,0.286133,0.0494385,0.423157,-0.858276
8352,0.251343,0.0435181,0.414001,-0.873779
8385,0.271729,-0.0300903,0.396606,-0.876343
8419,0.256226,-0.00701904,0.407715,-0.876404
8452,0.248352,-0.00457764,0.386353,-0.888306
8486,0.253845,-0.0240479,0.37439,-0.891541
8519,0.196472,-0.0305786,0.333862,-0.921448
8553,0.205322,-0.0621948,0.353394,-0.910522
8586,0.182251,-0.0562134,0.363159,-0.911987
8620,0.170044,-0.0560913,0.378235,-0.908203
8653,0.164551,-0.0679932,0.382446,-0.906616
8687,0.153137,-0.0640259,0.398254,-0.902161
8721,0.18866,-0.0827637,0.384583,-0.899841
8754,0.208557,-0.0185547,0.407593,-0.888794
8787,0.170898,-0.0248413,0.374634,-0.91095
8821,0.166992,-0.00372314,0.359131,-0.918213
8855,0.195435,0.0333862,0.346558,-0.91687
8888,0.334106,-0.107117,0.283142,-0.892578
8921,0.330322,-0.0112915,0.395142,-0.857117
8956,0.249695,-0.0106812,0.467773,-0.847778
8989,0.204834,-0.255676,0.372009,-0.868469
9023,0.144409,-0.340637,0.351318,-0.860046
9057,0.19928,-0.349915,0.393738,-0.826355
9090,0.196228,-0.396545,0.389771,-0.807678
9124,0.170166,-0.42572,0.412292,-0.787292
9158,0.177307,-0.432251,0.452515,-0.759583
9190,0.196594,-0.461365,0.461365,-0.731873
9226,0.238708,-0.474609,0.424927,-0.732971
9258,0.250366,-0.480713,0.386169,-0.746399
9291,0.275574,-0.433533,0.452209,-0.729126
9326,0.330688,-0.362,0.528503,-0.693054
9359,0.340942,-0.32489,0.542114,-0.695984
9392,0.343384,-0.310425,0.516052,-0.720703
9426,0.373474,-0.284546,0.505798,-0.723694
9459,0.382568,-0.272339,0.496887,-0.729797
9493,0.37793,-0.269653,0.485779,-0.74054
9527,0.371643,-0.256409,0.49115,-0.744934
9560,0.356506,-0.245911,0.529663,-0.729309
9594,0.321594,-0.263184,0.553528,-0.721741
9627,0.277283,-0.281921,0.590637,-0.70343
9661,0.229309,-0.333862,0.603821,-0.686584
9694,0.198853,-0.365967,0.614197,-0.670288
9728,0.193726,-0.346619,0.62384,-0.673157
9763,0.175232,-0.415771,0.562439,-0.692871
9795,0.18396,-0.439514,0.523132,-0.706665
9829,0.209229,-0.431641,0.548828,-0.684631
9863,0.218445,-0.416748,0.541992,-0.696289
9895,0.249207,-0.346313,0.542114,-0.723938
9929,0.248108,-0.309998,0.50885,-0.763794
9964,0.234741,-0.264038,0.460876,-0.814148
9996,0.208374,-0.23999,0.425903,-0.847107
10030,0.19519,-0.216187,0.435364,-0.851807
10064,0.0964355,-0.315613,0.545837,-0.770142
10097,0.0407715,-0.347046,0.616028,-0.705994
10130,0.0429688,-0.334106,0.596069,-0.728882
10165,0.0819702,-0.380737,0.626831,-0.674805
10197,0.0897217,-0.377747,0.65686,-0.646362
10231,0.0748291,-0.439636,0.641296,-0.62439
10265,0.123718,-0.429016,0.643066,-0.622192
10299,0.135254,-0.466919,0.628418,-0.607239
10332,0.123108,-0.496216,0.61908,-0.59613
10365,0.0999756,-0.492432,0.606873,-0.615845
10399,0.0839844,-0.478333,0.606873,-0.62915
10433,0.0783691,-0.454346,0.61731,-0.637451
